status,type,milestone_id,title
done,bug,b3,Make obstacle entities not step on top of each other
done,feat,b3,Allow allies to swap positions without AP cost
done,feat,b3,Add a DerivedState struct and arena that gets flushed away after each entity movement
done,feat,b3,Consume more AP when walking through water
done,imp,b3,Route around friendly players to avoid swapping when possible
done,feat,b3,Add enemy
done,feat,b3,Add melee attacks
done,feat,b3,Add enemy AI
done,feat,b3,Add hit/miss chance
done,imp,b3,Add hit indicators
done,feat,b4,Add fog of war (and add it to the dijkstra map calcs)
done,content,b4,Room with rope bridge access to a platform
done,imp,b4,Enemies should only move towards player within a certain distance
done,content,b4,Fire enemy - when it dies it splats flaming juices in random directions
done,feat,b4,Fire system - flammable objects burn and spread
doing,refactor,b4,Add sprite meta instead of just coordinates (like frames for animations)
todo,refactor,b4,Add a queue for log events coming in from server for more consistency
todo,feat,b4,Make entities get hurt by fire effect
todo,imp,b4,Click & drag to move camera around
todo,bug,b4,Player indicators should appear above all entities (render order)
todo,imp,b4,Consider setting a delay after actions (like attack) instead of after every turn
todo,feat,b4,"Add basic lobby for connecting, setting name and starting game"
todo,devtool,ideas,Rewind back to previous action (by replaying) for dev purposes
todo,imp,b4,Cancel all allies commands when an enemy is spotted for the first time
todo,bug,b4,Don't advance turn when all players are dead
todo,bug,b4,"Weirdness when delay=0, out of order messages or something"
todo,imp,b4,Add SFX again
todo,perf,ideas,Divide calculations across frames to reduce stutter
todo,feat,ideas,Shift-click to keep auto-attacking an enemy
todo,devtool,ideas,Add microui for debug tools
todo,devtool,ideas,Hydrate client and server entity state in hot reload
todo,refactor,ideas,Consider splitting server and client into separate packages
todo,content,b4,Add grass and make it burrrn
todo,feat,b4,Make rust websocket server and connect it up
todo,feat,b4,Make use of client token to relogin a user (and store it in localstorage)
todo,imp,b4,Darken non currently visible areas
todo,imp,b4,Add a proper LOS algorithm
todo,refactor,b4,Test turn system and iron out weird bugs with a refactor
todo,imp,b4,Cancel any pending command when enemy is spotted for first time
todo,feat,b4,Heal ability (potion?)
todo,imp,b4,"Handle all players dead, game over"
todo,balance,b4,Consider limiting ally position swapping to once per turn if unbalanced
todo,feat,b4,Add win condition again
todo,feat,b4,Hover tooltips for actions
done,feat,b4,Hover tooltips for entity information
todo,feat,b4,Add multiple dungeon levels
todo,imp,b4,Show path to cursor when clicking to move
todo,feat,b4,Potion of revive
todo,content,b4,Fire traps
todo,imp,b4,"Add animation queue (movement plays in parallel, attacks in sequence)"
todo,imp,b4,Handle individual player death
todo,feat,b4,Shock traps (probs easiest as tile effects like fire or net don't need to be implemented)
todo,imp,b4,Versioning for serialization - especially for anything saved to localstorage
todo,imp,ideas,Less dead ends - connect rooms that are side by side but have long distances using djikstra
todo,feat,ideas,Shield ability (potion?)
todo,feat,ideas,Grappling hook - grapple across to a platform
todo,imp,ideas,Don't show target for first ~50-100ms of player input to avoid flashes
todo,refactor,ideas,Add checksum to messaging?
todo,feat,ideas,Gems that can be attached to weapons for added effects:
todo,content,ideas,Gem of lifesteal (lifesteal on crit)
todo,content,ideas,Gem of flame (fire effect on crit)
todo,content,ideas,Gem of parry (increased speed after dodging an attack)
todo,feat,ideas,Character upgrades when drinking from a well (drinking twice shocks player instead)
todo,feat,ideas,"The god Thoth is watching over the player, pleased and displeased with actions"
todo,content,ideas,Net traps
todo,feat,ideas,Play as ghost when dead but teammates still alive (see journal for more)
todo,perf,ideas,Networkless play (using a dummy server instead of the server connecting to itself)
todo,feat,ideas,"Randomly generate a list of ""mercenaries"" that the player can choose from to contract. Gate progress through price of hiring them"
todo,feat,ideas,Show when another player has their inventory open - their cursor and what they're looking at
todo,feat,ideas,Auto-follow other players
todo,feat,ideas,Auto-explore (if everyone else is following)
